ind,dbh,lat,long
S_ACEPEN_H01,,,
S_ACERUB_H01,,,
T_BETLEN_H01,4.1,,
S_BETLEN_H01,,,
T_BETLEN_H02,2.6,,
T_ACEPEN_H01,2.9,,
S_ACEPEN_H01,,,
T_ACEPEN_H02,4.2,,
T_BETLEN_H03,2.9,,
S_ACESAC_H02,,,
T_ACESAC_H01,,,
T_FAGGRA_H01,5.8,,
T_HAMVIR_H01,2.7,,
T_FAGGRA_H02,12.1,,
T_BETLEN_H04,3.3,,
T_BETLEN_H05,4.5,,
S_ACESAC_H03,,,
S_FAGGRA_H01,,,
T_HAMVIR_H02,"5.3,2.8,2.5,2.6",,
S_HAMVIR_H01,,,
S_VIBACE_H01,,,
S_VIBACE_H02,,,
S_PRUPEN_H01,,,
T_HAMVIR_H03,"4.5, 2.7",,
T_BETLEN_H06,4,,
S_PRUPEN_H02,,,
S_HAMVIR_H03,,,
S_VIBACE_H03,,,
S_BETLEN_H02,,,
T_FAGGRA_H03,12.7,,
S_PRUPEN_H03,,,
S_PRUPEN_H04,,,
S_PRUPEN_H05,,,
T_FAGGRA_H04,4.1,,
T_HAMVIR_H04,"2.5,3.3",,
S_PRUPEN_H06,,,
S_HAMVIR_H04,,,
S_FAGGRA_H02,,,
T_HAMVIR_H05,1.9,,
T_HAMVIR_H06,3.3,,
T_ACEPEN_H03,2,,
S_BETLEN_H03,,,
T_HAMVIR_H07,1.4,,
S_ACEPEN_H02,,,
S_ACEPEN_H03,,,
T_ACEPEN_H04,1.5,,
T_ACEPEN_H05,4.8,,
T_BETLEN_H07,4.3,,
T_ACESAC_H02,2.6,,
T_ACESAC_H03,6.1,,
T_ACESAC_H04,7,,
S_ACESAC_H04,"2.2,2.8",,
T_ACESAC_H05,3.9,,
T_BETLEN_H08,10.1,,
T_FAGGRA_H05,,,
S_FAGGRA_H03,,,
T_VIBACE_H01,,,
T_VIBACE_H02,,,
T_VIBACE_H03,,,
T_BETLEN_H09,5.4,,
T_FAGGRA_H06,3.5,,
S_CORCOR_H01,,,
T_BETLEN_H10,1.8,,
T_ACESAC_H06,8,,
S_CORCOR_H02,,,
S_CORCOR_H03,,,
T_ACESAC_H07,,,
T_FAGGRA_H07,6,,
S_CORCOR_H04,,,
T_ACEPEN_H06,,,
T_ACEPEN_H07,1.2,,
S_BETALL_H01,,,
T_BETALL_H01,2.6,,
T_BETALL_H02,3.1,,
S_VIBACE_H04,,,
T_CORCOR_H01,,,
S_ACEPEN_H04,,,
T_ACEPEN_H08,1.6,,
S_BETALL_H02,,,
S_ACEPEN_H05,,,
T_HAMVIR_H08,1.4,,
S_ILEVER_H01,,,
S_HAMVIR_H05,,,
S_HAMVIR_H06,,,
S_ACEPEN_H06,,,
S_ILEVER_H02,,,
S_BETLEN_H04,,,
S_BETALL_H03,,,
T_HAMVIR_H09,,,
T_HAMVIR_H10,3.5,,
S_CORCOR_H05,,,
T_HAMVIR_H11,1.2,,
T_ACEPEN_H09,1.2,,
T_ACESAC_H08,4.2,,
S_ACESAC_H04,,,
S_PRUPEN_H06,,,
T_ACESAC_H09,2,,
T_ACESAC_H10,2.4,,
T_ILEVER_H01,2.1,,
S_ILEVER_H03,,,
T_BETLEN_H11,2.1,,
T_FAGGRA_H08,2.7,,
T_ACESAC_H11,2.5,,
S_ACESAC_H05,,,
T_ILEVER_H02,1.3,,
S_ACESAC_H06,,,
T_CORCOR_H02,,,
T_ACEPEN_H10,"2.2,1.9",,
S_ILEVER_H04,,,
S_ACEPEN_H07,,,
T_CORCOR_H03,,,
S_CORCOR_H06,,,
T_ILEMUC_H01,1.6,,
T_ILEVER_H03,2.3,,
S_ILEVER_H05,,,
S_BETLEN_H05,,,
S_HAMVIR_H07,,,
T_HAMVIR_H12,,,
T_FRAAME_H01,4.5,,
T_FRAAME_H02,2.1,,
S_FRAAME_H01,,,
S_FRAAME_H02,,,
S_HAMVIR_H08,,,
S_CORCOR_H07,,,
T_HAMVIR_H13,1.3,,
T_HAMVIR_H14,2,,
T_ACESAC_H12,6.9,,
S_PRUPEN_H07,,,
T_BETLEN_H12,2.5,,
T_BETLEN_H13,2.7,,
T_HAMVIR_H14,"4.3,3.2,3.1",,
T_BETLEN_H14,2.1,,
T_BETLEN_H15,2.4,,
S_BETLEN_H06,,,
T_VIBACE_H04,,,
S_CORCOR_H08,,,
T_BETLEN_H16,3.5,,
S_FRAAME_H03,,,
S_VIBACE_H05,,,
T_VIBACE_H05,,,
S_FRAAME_H04,,,
S_ILEVER_H06,,,
S_ILEVER_H07,,,
T_CORCOR_H03,,,
S_PRUPEN_H08,,,
S_PRUPEN_H09,,,
S_ACEPEN_H08,,,
S_CORCOR_H09,,,
T_FAGGRA_H09,6.2,,
T_FAGGRA_H10,5.6,,
S_VIBACE_H06,,,
T_HAMVIR_H15,,,
T_HAMVIR_H16,1.2,,
S_FAGGRA_H04,,,
T_FAGGRA_H11,7,,
S_ACESAC_H07,,,
S_ACESAC_H08,,,
S_ACESAC_H09,,,
S_ACESAC_H10,,,
S_ACESAC_H11,,,
T_FAGGRA_H12,2.1,,
S_ACESAC_H12,,,
T_ACESAC_H13,2.4,,
S_ACESAC_H13,,,
S_ACESAC_H14,,,
S_ACESAC_H15,,,
T_ACESAC_H14,2.5,,
T_ACESAC_H15,2.1,,
T_ACESAC_H16,3.5,,
S_ACESAC_H16,,,
T_CAROVA_H01,2.7,,
T_CAROVA_H02,1.5,,
S_CAROVA_H01,,,
S_ACESAC_H17,,,
S_BETLEN_H07,,,
S_CAROVA_H02,,,
T_CAROVA_HO3,"1.5, 1.6",,
S_ACESAC_H18,,,
S_ACESAC_H19,,,
S_CAROVA_H03,,,
S_CAROVA_H04,,,
S_ACESAC_H20,,,
S_ILEVER_H08,,,
T_CAROVA_H04,,,
S_CAROVA_H05,,,
S_CORCOR_H10,,,
T_CORCOR_H04,,,
S_CAROVA_H06,,,
S_CAROVA_H07,,,
S_ACESAC_H21,,,
T_ILEVER_H04,2,,
T_CORCOR_H05,,,
T_VIBACE_H04,,,
S_VIBACE_H07,,,
S_VIBACE_H08,,,
T_VIBACE_H05,,,
S_VIBACE_H09,,,
S_VIBACE_H10,,,
S_CORCOR_H11,,,
S_ACESAC_H22,,,
S_VIBACE_H11,,,
T_VIBACE_H06,,,
S_CORCOR_H12,,,
S_CORCOR_H13,,,
T_ACEPEN_H11,2,,
T_CORCOR_H06,,,
T_ACEPEN_H12,1.2,,
S_ACEPEN_H09,,,
S_ACEPEN_H10,,,
T_ACEPEN_H13,,,
T_ACEPEN_H14,1.7,,
T_ACEPEN_H15,1.9,,
S_ACESAC_H23,,,
S_BETLEN_H08,,,
T_ILEVER_H05,,,
T_CORCOR_H07,,,
S_ACESAC_H24,,,
S_ILEVER_H09,,,
T_VIBACE_H07,,,
T_VIBACE_H08,,,
T_ILEVER_H06,1.6,,
T_FAGGRA_H13,1.8,,
S_FAGGRA_H05,,,
S_HAMVIR_H08,,,
S_HAMVIR_H09,,,
S_HAMVIR_H10,,,
S_HAMVIR_H11,,,
S_CORCOR_H14,,,
S_CORCOR_H15,,,
S_HAMVIR_H12,,,
S_CORCOR_H16,,,
S_VIBACE_H12,,,
S_VIBACE_H13,,,
S_HAMVIR_H13,,,
T_CAROVA_H05,4.1,,
T_ILEVER_H07,"1.7, 2.4",,
T_ILEVER_H08,3.6,,
S_ILEVER_H10,,,
T_CAROVA_H06,4.1,,
T_CAROVA_H07,2.6,,
T_CAROVA_H08,3.1,,
T_CORCOR_H09,,,
S_CORCOR_H17,,,
S_CORCOR_H18,,,
S_CORCOR_H19,,,
S_CORCOR_H20,,,
T_CORCOR_H10,,,
S_CORCOR_H21,,,
S_CORCOR_H22,,,
T_CORCOR_H11,,,
T_CORCOR_H12,,,
T_CAROVA_H09,2,,
S_CORCOR_H23,,,
S_CORCOR_H24,,,
S_CAROVA_H08,,,
T_FAGGRA_H14,10.5,,
T_CORCOR_H13,,,
T_CAROVA_H10,"1.0, 1.1",,
T_CORCOR_H14,4.7,,
T_CORCOR_H15,,,
T_ILEVER_H09,1.7,,
T_ILEVER_H10,2.1,,
T_ILEVER_H11,1.8,,
S_ILEVER_H11,,,
S_ILEVER_H12,,,
T_VIBACE_H11,,,
S_VIBACE_H14,,,
S_CAROVA_H09,,,
S_CAROVA_H10,,,
T_CORCOR_H16,,,
S_CAROVA_H11,,,
S_CAROVA_H12,,,
T_FAGGRA_H15,6,,
T_FAGGRA_H16,19.2,,
T_CAROVA_H11,2.6,,
T_ILEVER_H12,,,
T_ILEVER_H13,3,,
S_CAROVA_H13,,,
S_FAGGRA_H06,,,
S_VIBACE_H15,,,
S_VIBACE_H16,,,
S_CAROVA_H14,,,
S_CAROVA_H15,,,
S_CAROVA_H16,,,
S_CAROVA_H17,,,
S_CAROVA_H18,,,
S_CAROVA_H19,,,
S_CAROVA_H20,,,
S_VIBACE_H15,,,
S_VIBACE_H16,,,
S_VIBACE_H17,,,
S_VIBACE_H18,,,
T_VIBACE_H12,,,
S_VIBACE_H19,,,
S_VIBACE_H20,,,
T_VIBACE_H13,,,
T_VIBACE_H14,,,
T_VIBACE_H15,,,
S_BETLEN_H09,,,
S_CAROVA_H21,,,
S_BETLEN_H10,,,
S_VIBACE_H21,,,
T_VIBACE_H16,,,
S_ACEPEN_H12,,,
T_ACEPEN_H16,,,
S_VIBACE_H22,,,
S_ILEVER_H13,,,
S_CAROVA_H22,,,
S_ILEVER_H14,,,
T_ILEVER_H14,,,
S_BETLEN_H11,,,
S_VIBACE_H23,,,
S_HAMVIR_H14,,,
S_VIBACE_H24,,,
S_BETLEN_H12,,,
S_ILEVER_H15,,,
S_BETLEN_H13,,,
S_CAROVA_H23,,,
S_BETLEN_H14,,,
S_CAROVA_H24,,,
S_BETLEN_H15,,,
S_BETLEN_H16,,,
T_ILEVER_H15,,,
S_BETLEN_H17,,,
S_BETLEN_H18,,,
S_ILEVER_H16,,,
S_HAMVIR_H15,,,
S_HAMVIR_H16,,,
S_BETLEN_H19,,,
T_CAROVA_H12,5.5,,
S_BETLEN_H20,,,
S_HAMVIR_H17,,,
S_HAMVIR_H18,,,
S_HAMVIR_H19,,,
S_HAMVIR_H20,,,
