"Plot Title: CC_N_New"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20327935, SEN S/N: 20327935)","Intensity, Lux (LGR S/N: 20327935, SEN S/N: 20327935)","Coupler Detached (LGR S/N: 20327935)","End Of File (LGR S/N: 20327935)"
1,04/03/18 07:51:03 AM,17.855,0.0,,
2,04/03/18 07:51:09 AM,,,Logged,
3,04/03/18 07:52:03 AM,18.616,0.0,,
4,04/03/18 07:53:03 AM,18.901,0.0,,
5,04/03/18 07:54:03 AM,18.996,0.0,,
6,04/03/18 07:55:03 AM,18.996,0.0,,
7,04/03/18 07:56:03 AM,18.901,0.0,,
8,04/03/18 07:57:03 AM,18.901,0.0,,
9,04/03/18 07:58:03 AM,18.806,0.0,,
10,04/03/18 07:59:03 AM,18.711,0.0,,
11,04/03/18 08:00:03 AM,18.616,0.0,,
12,04/03/18 08:01:03 AM,18.521,0.0,,
13,04/03/18 08:02:03 AM,18.426,0.0,,
14,04/03/18 08:03:03 AM,18.331,0.0,,
15,04/03/18 08:04:03 AM,18.236,0.0,,
16,04/03/18 08:05:03 AM,18.140,0.0,,
17,04/03/18 08:06:03 AM,18.045,0.0,,
18,04/03/18 08:07:03 AM,17.855,0.0,,
19,04/03/18 08:08:03 AM,17.570,0.0,,
20,04/03/18 08:09:03 AM,17.284,0.0,,
21,04/03/18 08:10:03 AM,16.999,0.0,,
22,04/03/18 08:11:03 AM,16.713,0.0,,
23,04/03/18 08:12:03 AM,16.427,0.0,,
24,04/03/18 08:13:03 AM,16.141,0.0,,
25,04/03/18 08:14:03 AM,15.855,0.0,,
26,04/03/18 08:15:03 AM,15.569,0.0,,
27,04/03/18 08:16:03 AM,15.378,0.0,,
28,04/03/18 08:17:03 AM,15.091,0.0,,
29,04/03/18 08:18:03 AM,14.900,0.0,,
30,04/03/18 08:19:03 AM,14.613,0.0,,
31,04/03/18 08:20:03 AM,14.325,0.0,,
32,04/03/18 08:21:03 AM,14.038,0.0,,
33,04/03/18 08:22:03 AM,13.750,0.0,,
34,04/03/18 08:23:03 AM,13.461,0.0,,
35,04/03/18 08:24:03 AM,13.173,0.0,,
36,04/03/18 08:25:03 AM,12.980,0.0,,
37,04/03/18 08:26:03 AM,12.690,0.0,,
38,04/03/18 08:27:03 AM,12.401,0.0,,
39,04/03/18 08:28:03 AM,12.110,0.0,,
40,04/03/18 08:29:03 AM,11.916,0.0,,
41,04/03/18 08:30:03 AM,11.625,0.0,,
42,04/03/18 08:31:03 AM,11.431,0.0,,
43,04/03/18 08:32:03 AM,11.236,0.0,,
44,04/03/18 08:33:03 AM,11.041,0.0,,
45,04/03/18 08:34:03 AM,10.846,0.0,,
46,04/03/18 08:35:03 AM,10.651,0.0,,
47,04/03/18 08:36:03 AM,10.553,0.0,,
48,04/03/18 08:37:03 AM,10.357,0.0,,
49,04/03/18 08:38:03 AM,10.161,0.0,,
50,04/03/18 08:39:03 AM,10.063,0.0,,
51,04/03/18 08:40:03 AM,9.965,0.0,,
52,04/03/18 08:41:03 AM,9.866,0.0,,
53,04/03/18 08:42:03 AM,9.768,0.0,,
54,04/03/18 08:43:03 AM,9.669,0.0,,
55,04/03/18 08:44:03 AM,9.669,0.0,,
56,04/03/18 08:45:03 AM,9.571,0.0,,
57,04/03/18 08:46:03 AM,9.472,0.0,,
58,04/03/18 08:47:03 AM,9.275,0.0,,
59,04/03/18 08:48:03 AM,9.176,0.0,,
60,04/03/18 08:49:03 AM,9.077,0.0,,
61,04/03/18 08:50:03 AM,8.978,0.0,,
62,04/03/18 08:51:03 AM,8.879,0.0,,
63,04/03/18 08:52:03 AM,8.779,0.0,,
64,04/03/18 08:53:03 AM,8.680,0.0,,
