ind,lat,lon,4/3/18,4/7/18
S_ACEPEN_H01,42.46743604,-72.21225299,,
S_ACEPEN_H02,42.46767601,-72.21238601,3,3
S_ACEPEN_H03,42.46764097,-72.21247796,,
S_ACEPEN_H07,42.46702298,-72.21256597,dead,
S_ACEPEN_H08,42.46846198,-72.21320903,7,9
S_ACEPEN_H09,42.46707503,-72.213146,7,7
S_ACEPEN_H10,42.46703002,-72.21299998,3,3
S_ACEPEN_H12,42.46621203,-72.21388201,3,9
S_ACEPEN_H13,42.46707796,-72.21239498,3,7
S_ACEPEN_H14,42.46703597,-72.21220898,3,
S_ACEPEN_H15,42.46710998,-72.21197697,3,7
S_ACEPEN_H16,42.46707402,-72.21190296,3,3
S_ACEPEN_H17,42.46722397,-72.21189701,,
S_ACEPEN_H18,42.46729497,-72.21198603,3,3
S_ACEPEN_H19,42.467257,-72.21206297,,3
S_ACEPEN_H20,42.46732196,-72.21211703,3,7
S_ACEPEN_H21,42.46729497,-72.21211997,3,3
S_ACEPEN_H22,42.46723403,-72.21209197,3,3
S_ACEPEN_H23,42.46729497,-72.21214,3,3
S_ACEPEN_H24,42.46735699,-72.21219599,dead,
S_ACEPEN_H25,,,3,
S_ACEPEN_H26,,,,7
S_ACESAC_H01,42.46694704,-72.21241702,3,7
S_ACESAC_H02,42.46805202,-72.21246002,3,3
S_ACESAC_H03,42.46649802,-72.21236698,,
S_ACESAC_H04,42.46651897,-72.21226104,,3
S_ACESAC_H05,42.46711702,-72.212629,3,3
S_ACESAC_H06,42.46692197,-72.21279798,,
S_ACESAC_H07,42.46778799,-72.21269899,3,7
S_ACESAC_H08,42.46778799,-72.21269899,3,7
S_ACESAC_H09,42.46596602,-72.21239297,3,7
S_ACESAC_H10,42.46608404,-72.21238299,3,3
S_ACESAC_H11,42.46609703,-72.21254703,3,3
S_ACESAC_H12,42.46613198,-72.21247,3,7
S_ACESAC_H13,42.466034,-72.212701,,
S_ACESAC_H14,42.46599502,-72.21263504,3,3
S_ACESAC_H15,42.46595697,-72.21246698,3,7
S_ACESAC_H16,42.46604296,-72.21253001,3,3
S_ACESAC_H17,42.46633398,-72.21197102,3,3
S_ACESAC_H18,42.46624497,-72.21246203,3,3
S_ACESAC_H19,42.46636198,-72.21247603,3,3
S_ACESAC_H20,42.46653498,-72.21270704,3,3
S_ACESAC_H21,42.46656298,-72.212729,,
S_ACESAC_H22,42.46669499,-72.21283402,3,3
S_ACESAC_H23,42.46697897,-72.21287099,3,7
S_ACESAC_H24,42.46675501,-72.21290996,3,3
S_BETLEN_H01,42.46715901,-72.21248299,7,
S_BETLEN_H02,42.468926,-72.21249204,,X
S_BETLEN_H03,42.46782001,-72.21232398,?,
S_BETLEN_H05,42.46733897,-72.21239196,7,9
S_BETLEN_H06,42.46831496,-72.21303301,7,7
S_BETLEN_H07,42.46631596,-72.21188201,7,9
S_BETLEN_H08,42.46699699,-72.21315899,,
S_BETLEN_H09,42.46622401,-72.21347096,3,9
S_BETLEN_H10,42.46632803,-72.21363902,?,9
S_BETLEN_H11,42.46599996,-72.21375402,,
S_BETLEN_H12,42.46627497,-72.21380004,3,3
S_BETLEN_H13,42.46628503,-72.21366199,7,9
S_BETLEN_H14,42.46645602,-72.21394203,7,9
S_BETLEN_H15,42.466336,-72.21393096,7,9
S_BETLEN_H16,42.46631797,-72.21386801,7,9
S_BETLEN_H17,42.46634999,-72.21395301,7,9
S_BETLEN_H18,42.46641504,-72.21401604,,9
S_BETLEN_H19,42.46673799,-72.21354598,7,
S_BETLEN_H20,42.46668804,-72.21333501,3,9
S_BETLEN_H21,42.46735901,-72.21295003,7,9
S_BETLEN_H22,42.46742296,-72.21312404,,
S_BETLEN_H23,42.46739396,-72.21335496,,
S_BETLEN_H24,42.46772203,-72.21355403,,
S_BETLEN_H25,,,3,9
S_BETLEN_H26,,,,9
S_CORCOR_H05,42.46772001,-72.212327,,X (adult 51-M &F)
S_CORCOR_H06,42.46696799,-72.21264702,,9
S_CORCOR_H07,,,3,3
S_CORCOR_H08,,,,7
S_CORCOR_H09,42.46852803,-72.21293301,7,7
S_CORCOR_H10,42.46647203,-72.21280804,3,7
S_CORCOR_H11,42.46678099,-72.21276898,7,7
S_CORCOR_H12,42.46687998,-72.21282598,3,Not great..
S_CORCOR_H13,42.46689004,-72.21306503,3,3
S_CORCOR_H14,42.46659198,-72.21339804,3,7
S_CORCOR_H15,42.46656298,-72.21344196,3,
S_CORCOR_H16,42.46635896,-72.21335001,3,9
S_CORCOR_H17,42.46556402,-72.21306201,7,7
S_CORCOR_H18,42.46552203,-72.21312999,7,
S_CORCOR_H19,42.46554701,-72.21306897,3,7
